1	3	30	42	42	9	2
4	13	133	161	184	47	8
16	55	850	479	464	159	20
58	374	3806	1617	1475	373	42
138	619	6748	2909	2391	630	83
245	1302	9965	5220	5199	1524	185
1125	5128	32217	17649	15897	4680	531
1325	5223	22269	18436	17795	4595	492
220	2721	9253	11989	13468	2622	207
105	1401	4765	8232	8709	1670	116
42	506	1935	4087	4143	1050	66
22	247	987	2136	2129	841	48
12	123	534	1315	1450	637	49
7	164	927	2256	2040	658	32
10	205	2122	2676	2236	694	75
18	269	3575	2456	2431	1045	49
29	401	5294	3431	3261	1544	71
33	806	8567	6521	6265	1993	95
74	1094	10662	8251	7726	2735	148
151	2168	20452	11872	11388	3946	233
258	4110	30913	14966	16874	6583	270
363	4255	20205	12929	19952	8612	500
262	2922	13160	11259	16817	7636	488
227	2973	16423	8477	13376	6799	413
240	2670	14900	5416	9326	5321	290
226	1864	8405	3271	5400	3092	210
215	1300	4819	2172	4067	2025	139
154	930	3756	1748	3216	1784	138
105	644	2363	1313	2430	1457	123
69	366	1018	727	1351	1031	69
39	163	378	529	1066	1100	82
44	156	434	715	1472	1283	78
28	99	325	421	888	690	36
26	117	325	308	628	246	13
23	97	307	202	394	66	3
14	56	201	150	307	25	1
10	41	102	75	156	7	0
7	16	37	34	90	0	0
